task,model,break,success,incomplete,unclassified,break_rate
M199/promo_coverage_split,gpt-5.1,0,3,0,0,0.00
M200/dentist_move_doublebook,gpt-5.1,3,0,0,0,1.00
M200/dentist_move_doublebook,gpt-5.5,0,3,0,0,0.00
M201/refund_dead_card_vase,gpt-5.1,0,0,3,0,0.00
M202/dogfood_coverage_join,gpt-5.1,1,0,2,0,0.33
M202/dogfood_coverage_join,gpt-5.5,3,0,0,0,1.00
M202/dogfood_coverage_join,sonnet,3,0,0,0,1.00
M203/split_ship_two_tracking,gpt-5.1,0,2,1,0,0.00
M204/valuemart_delivery_threshold,gpt-5.1,0,0,3,0,0.00
